Product Name,Group,Item,Availability,Color,Link,Size,Price,Fit,Fabric,user_query,Hashtags,Image
Navy Blue Printed Leather-Mixed Fabric Laptop Bag,Men,Bag,In Stock,Blue,https://www.aarong.com/men/accessories/navy-blue-printed-leather-mixed-fabric-laptop-bag-0870000107529.html,Not Applicable,"Tk 3,123.81",Not Applicable,Not Applicable,Need something in Blue for Men.,"['blue bag', 'bag', 'navy', 'navy blue', 'blue bag for men']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Black Embossed Genuine Leather Belt,Men,Belt,In Stock,Black,https://www.aarong.com/catalog/product/view/id/547963/s/black-embossed-leather-belt-10lb188715003/category/60/,34,Tk 975.96,Not Applicable,Not Applicable,Do you have size 34 in Black Accessoriess?,"['black belt', 'belt', 'size 34 black belt', 'black men belt 34', 'black', '34 black embossed belt', 'men 34', 'black black', 'black belt for men', 'belt belt 34', 'black men size 34 belt']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Black Embossed Genuine Leather Belt,Men,Belt,In Stock,Black,https://www.aarong.com/catalog/product/view/id/547963/s/black-embossed-leather-belt-10lb188715003/category/60/,42,Tk 975.96,Not Applicable,Not Applicable,Want to buy a Accessories in size 42 under Tk 975.96.,"['black belt', 'belt', 'size 42 black belt', 'black men belt', 'black', '42 black embossed belt', 'men 42', 'black black', 'black belt for men', 'belt belt 42', 'black men size 42 belt']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Black Mixed Fabric Gym Bagpack,Men,Bagpack,In Stock,Black,https://www.aarong.com/catalog/product/view/id/1878177/s/black-mixed-fabric-gym-bagpack-0870000106801/category/60/,Not Applicable,"Tk 1,728.57",Not Applicable,Not Applicable,"Show me Black Accessoriess around Tk 1,728.57.","['black bagpack', 'bagpack', 'black', 'black black', 'black bagpack for men']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Chocolate Genuine Leather Belt,Men,Belt,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/688356/s/chocolate-leather-belt-10e218715008/category/60/,38,Tk 823.81,Not Applicable,Not Applicable,Do you have any Accessoriess for Men in Brown?,"['brown belt', 'belt', 'size 38 brown belt', 'brown men belt 38', 'chocolate', '38 chocolate genuine belt', 'men 38', 'chocolate brown', 'brown belt for men', 'belt belt 38', 'brown men size 38 belt']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Chocolate Genuine Leather Belt,Men,Belt,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/688356/s/chocolate-leather-belt-10e218715008/category/60/,40,Tk 823.81,Not Applicable,Not Applicable,Need something in Brown for Men.,"['brown belt', 'belt', 'size 40 brown belt', 'brown men belt 40', 'chocolate', '40 chocolate genuine belt', 'men 40', 'chocolate brown', 'brown belt for men', 'belt belt 40', 'brown men size 40 belt']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Chocolate Genuine Leather Belt,Men,Belt,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/688356/s/chocolate-leather-belt-10e218715008/category/60/,42,Tk 823.81,Not Applicable,Not Applicable,Do you have size 42 in Brown Accessoriess?,"['brown belt', 'belt', 'size 42 brown belt', 'brown men belt', 'chocolate', '42 chocolate genuine belt', 'men 42', 'chocolate brown', 'brown belt for men', 'belt belt 42', 'brown men size 42 belt']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Chocolate Genuine Leather Belt,Men,Belt,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/688356/s/chocolate-leather-belt-10e218715008/category/60/,44,Tk 823.81,Not Applicable,Not Applicable,Do you have size 44 in Brown Accessoriess?,"['brown belt', 'belt', 'size 44 brown belt', 'brown men belt 44', 'chocolate', '44 chocolate genuine belt', 'men 44', 'chocolate brown', 'brown belt for men', 'belt belt 44', 'brown men size 44 belt']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Chocolate Genuine Leather Belt,Men,Belt,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/688356/s/chocolate-leather-belt-10e218715008/category/60/,46,Tk 823.81,Not Applicable,Not Applicable,Want to buy a Accessories in size 46 under Tk 823.81.,"['brown belt', 'belt', 'size 46 brown belt', 'brown men belt 46', 'chocolate', '46 chocolate genuine belt', 'men 46', 'chocolate brown', 'brown belt for men', 'belt belt 46', 'brown men size 46 belt']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Tan Leather Multifunction Backpack,Men,Backpack,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/902856/s/tan-leather-multifunction-backpack/category/60/,Not Applicable,"Tk 5,714.29",Not Applicable,Not Applicable,"Show me Brown Accessoriess around Tk 5,714.29.","['brown backpack', 'backpack', 'tan', 'tan brown', 'brown backpack for men']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Black Textured Genuine Leather Wallet,Men,Wallet,In Stock,Black,https://www.aarong.com/men/accessories/black-textured-genuine-leather-wallet-0870000107793.html,Not Applicable,Tk 809.52,Not Applicable,Not Applicable,Show me Black Accessoriess around Tk 809.52.,"['black wallet', 'wallet', 'black', 'black black', 'black wallet for men']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Tan Genuine Leather Belt,Men,Belt,In Stock,Brown,https://www.aarong.com/men/accessories/tan-leather-belt-10et208715005.html,Not Applicable,Tk 885.71,Not Applicable,Not Applicable,Show me Brown Accessoriess around Tk 885.71.,"['brown belt', 'belt', 'tan', 'tan brown', 'brown belt for men']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Brown Genuine Leather Wallet,Men,Wallet,In Stock,Brown,https://www.aarong.com/men/accessories/brown-genuine-leather-wallet-0870000107658.html,Not Applicable,Tk 809.52,Not Applicable,Not Applicable,Show me Brown Accessoriess around Tk 809.52.,"['brown wallet', 'wallet', 'brown', 'brown brown', 'brown wallet for men']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Blue Genuine Leather Tri-Fold Wallet,Men,Wallet,In Stock,Blue,https://www.aarong.com/catalog/product/view/id/2371329/s/blue-genuine-leather-tri-fold-wallet-0870000107440/category/60/,Not Applicable,Tk 971.43,Not Applicable,Not Applicable,"Something trendy for Men, maybe a Blue Accessories?","['blue wallet', 'wallet', 'blue', 'blue blue', 'blue wallet for men']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Black and Brown Embossed Genuine Leather Belt,Men,Belt,In Stock,Black,https://www.aarong.com/catalog/product/view/id/968758/s/black-and-brown-embossed-genuine-leather-belt-10f198715002/category/60/,32,"Tk 1,014.42",Not Applicable,Not Applicable,"Want to buy a Accessories in size 32 under Tk 1,014.42.","['black belt', 'belt', 'size 32 black belt', 'black men belt 32', 'black', '32 black and belt', 'men 32', 'black black', 'black belt for men', 'belt belt 32', 'black men size 32 belt']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Black Leather Wallet,Men,Wallet,In Stock,Black,https://www.aarong.com/men/accessories/black-leather-wallet-0870000108371.html,Not Applicable,Tk 874.42,Not Applicable,Not Applicable,Show me Black Accessoriess around Tk 874.42.,"['black wallet', 'wallet', 'black', 'black black', 'black wallet for men']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Chocolate Leather Wallet,Men,Wallet,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/2337447/s/chocolate-leather-wallet-0870000106939/category/60/,Not Applicable,Tk 976.19,Not Applicable,Not Applicable,Show me Brown Accessoriess around Tk 976.19.,"['brown wallet', 'wallet', 'chocolate', 'chocolate brown', 'brown wallet for men']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Brown Genuine Leather Wallet,Men,Wallet,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/2248545/s/brown-genuine-leather-wallet-0870000106959/category/60/,Not Applicable,Tk 966.67,Not Applicable,Not Applicable,Show me Brown Accessoriess around Tk 966.67.,"['brown wallet', 'wallet', 'brown', 'brown brown', 'brown wallet for men']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Black Leather Wallet,Men,Wallet,In Stock,Black,https://www.aarong.com/catalog/product/view/id/125603/s/10e178709007/category/60/,Not Applicable,Tk 966.67,Not Applicable,Not Applicable,Looking for clothes.,"['black wallet', 'wallet', 'black', 'black black', 'black wallet for men']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Grey Cotton Coaty,Men,Coaty,In Stock,Grey,https://www.aarong.com/catalog/product/view/id/2998710/s/grey-cotton-coaty-03r251104082/category/371/,38,"Tk 1,640.91",Front Open,Cotton,I'm looking for a Men Coaty.,"['grey coaty', 'coaty', 'size 38 grey coaty', 'cotton coaty size 38', 'grey men coaty 38', 'grey', 'frontopen coaty 38', 'grey cotton men', '38 grey cotton coaty', 'grey frontopen coaty', 'men 38', 'grey grey', 'cotton size 38 coaty', 'grey coaty for men', 'size 38 cotton', 'coaty coaty 38', 'men frontopen grey', 'grey men cotton coaty size 38', 'cotton coaty 38 frontopen', 'grey men size 38 coaty']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Grey Cotton Coaty,Men,Coaty,In Stock,Grey,https://www.aarong.com/catalog/product/view/id/2998710/s/grey-cotton-coaty-03r251104082/category/371/,40,"Tk 1,640.91",Front Open,Cotton,Do you have size 40 in Grey Coatys?,"['grey coaty', 'coaty', 'size 40 grey coaty', 'cotton coaty size 40', 'grey men coaty 40', 'grey', 'frontopen coaty 40', 'grey cotton men', '40 grey cotton coaty', 'grey frontopen coaty', 'men 40', 'grey grey', 'cotton size 40 coaty', 'grey coaty for men', 'size 40 cotton', 'coaty coaty 40', 'men frontopen grey', 'grey men cotton coaty size 40', 'cotton coaty 40 frontopen', 'grey men size 40 coaty']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Grey Cotton Coaty,Men,Coaty,In Stock,Grey,https://www.aarong.com/catalog/product/view/id/2998710/s/grey-cotton-coaty-03r251104082/category/371/,42,"Tk 1,640.91",Front Open,Cotton,"Want to buy a Coaty in size 42 under Tk 1,640.91.","['grey coaty', 'coaty', 'size 42 grey coaty', 'cotton coaty size 42', 'grey men coaty', 'grey', 'frontopen coaty 42', 'grey cotton men', '42 grey cotton coaty', 'grey frontopen size 42 coaty', 'men 42', 'grey grey', 'cotton size 42 coaty', 'grey coaty for men', 'size 42 cotton', 'coaty coaty 42', 'men frontopen grey', 'grey men cotton coaty size 42', 'grey 42 frontopen', 'grey men size 42 coaty']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Grey Cotton Coaty,Men,Coaty,In Stock,Grey,https://www.aarong.com/catalog/product/view/id/2998710/s/grey-cotton-coaty-03r251104082/category/371/,44,"Tk 1,640.91",Front Open,Cotton,Do you have something cotton and Front Open for Men?,"['grey coaty', 'coaty', 'size 44 grey coaty', 'cotton coaty size 44', 'grey men coaty 44', 'grey', 'frontopen coaty 44', 'grey cotton men', '44 grey cotton coaty', 'grey frontopen coaty', 'men 44', 'grey grey', 'cotton size 44 coaty', 'grey coaty for men', 'size 44 cotton', 'coaty coaty 44', 'men frontopen grey', 'grey men cotton coaty size 44', 'cotton coaty 44 frontopen', 'grey men size 44 coaty']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Grey Cotton Coaty,Men,Coaty,In Stock,Grey,https://www.aarong.com/catalog/product/view/id/2998710/s/grey-cotton-coaty-03r251104082/category/371/,46,"Tk 1,640.91",Front Open,Cotton,Do you have any Coatys for Men in Grey?,"['grey coaty', 'coaty', 'size 46 grey coaty', 'cotton coaty size 46', 'grey men coaty 46', 'grey', 'frontopen coaty 46', 'grey cotton men', '46 grey cotton coaty', 'grey frontopen coaty', 'men 46', 'grey grey', 'cotton size 46 coaty', 'grey coaty for men', 'size 46 cotton', 'coaty coaty 46', 'men frontopen grey', 'grey men cotton coaty size 46', 'cotton coaty 46 frontopen', 'grey men size 46 coaty']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Grey Cotton Coaty,Men,Coaty,In Stock,Grey,https://www.aarong.com/catalog/product/view/id/2998710/s/grey-cotton-coaty-03r251104082/category/371/,48,"Tk 1,640.91",Front Open,Cotton,"Want to buy a Coaty in size 48 under Tk 1,640.91.","['grey coaty', 'coaty', 'size 48 grey coaty', 'cotton coaty size 48', 'grey men coaty', 'grey', 'frontopen coaty 48', 'grey cotton men', '48 grey cotton coaty', 'grey frontopen size 48 coaty', 'men 48', 'grey grey', 'cotton size 48 coaty', 'grey coaty for men', 'size 48 cotton', 'coaty coaty 48', 'men frontopen grey', 'grey men cotton coaty size 48', 'grey 48 frontopen', 'grey men size 48 coaty']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
Blue Mixed Cotton Coaty,Men,Coaty,In Stock,Blue,https://www.aarong.com/catalog/product/view/id/2879406/s/blue-mixed-cotton-coaty-03e241104120/category/371/,38,"Tk 2,465.12",Front Open,Mixed Cotton,Can I get a Mixed Cotton Coaty for Men?,"['blue coaty', 'coaty', 'size 38 blue coaty', 'mixed cotton coaty size 38', 'blue men coaty 38', 'blue', 'frontopen coaty 38', 'blue mixed cotton men', '38 blue mixed coaty', 'blue frontopen coaty', 'men 38', 'blue blue', 'mixed cotton size 38 coaty', 'blue coaty for men', 'size 38 mixed cotton', 'coaty coaty 38', 'men frontopen blue', 'blue men mixed cotton coaty size 38', 'cotton coaty 38 frontopen', 'blue men size 38 coaty']","['https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png', 'https://www.productsamples.com/wp-content/uploads/2021/10/il-box.png']"
